R_fighter,B_fighter,R_odds,B_odds,R_wins,B_wins,R_win_streak,B_win_streak,R_loss_streak,B_loss_streak,R_age,B_age,R_height,B_height,R_reach,B_reach,lose_streak_dif,win_streak_dif,age_dif,height_dif,reach_dif,Winner
Sergei Pavlovich,Curtis Blaydes,140,-165,18,17,5,3,0,0,30,32,191,193,213,203,0,-2,2,2,-10,Red
Max Holloway,Arnold Allen,-185,150,23,19,0,12,1,0,31,29,180,173,69,70,-1,12,-2,-7,1,Red
Cory Sandhagen,Marlon Vera,-160,135,15,22,2,4,0,0,30,30,180,173,178,179,0,2,0,-7,1,Red
Israel Adesanya,Alex Pereira,-150,125,23,7,0,4,1,0,33,35,193,194,203,204,-1,4,2,1,1,Red
Islam Makhachev,Alexander Volkanovski,375,300,23,25,11,22,0,0,31,34,178,168,179,182,0,11,3,-10,3,Red
Jon Jones,Ciryl Gane,-180,150,26,11,18,1,0,0,35,32,194,193,215,206,0,-17,-3,-1,-9,Red
Jamahal Hill,Glover Teixeira,-140,120,11,33,3,0,0,1,31,43,193,188,201,193,1,-3,12,-5,-8,Red
Leon Edwards,Kamaru Usman,210,-270,20,20,10,0,0,1,31,35,188,183,188,193,1,-10,4,-5,5,Red
Alex Pereira,Israel Adesanya,180,-225,6,23,3,3,0,0,35,33,194,193,203,203,0,0,-2,-1,0,Red
Stephen Tompson,Kevin Holland,145,-170,16,23,0,0,2,1,38,30,183,191,191,206,-1,0,-8,8,15,Red
